Date,Open,High,Low,Close
1970-01-01,1.5826,1.5826,1.5826,1.5826
1970-01-02,1.5826,1.5826,1.5826,1.5826
1970-01-05,1.5826,1.5826,1.5826,1.5826
1970-01-06,1.5826,1.5826,1.5826,1.5826
1970-01-07,1.5826,1.5826,1.5826,1.5826
1970-01-08,1.5826,1.5826,1.5826,1.5826
1970-01-09,1.5826,1.5826,1.5826,1.5826
1970-01-12,1.5826,1.5826,1.5826,1.5826
1970-01-13,1.5826,1.5826,1.5826,1.5826
1970-01-14,1.5826,1.5826,1.5826,1.5826
1970-01-15,1.5826,1.5826,1.5826,1.5826
1970-01-16,1.5826,1.5826,1.5826,1.5826
1970-01-19,1.5826,1.5826,1.5826,1.5826
1970-01-20,1.5826,1.5826,1.5826,1.5826
1970-01-21,1.5826,1.5826,1.5826,1.5826
1970-01-22,1.5826,1.5826,1.5826,1.5826
1970-01-23,1.5826,1.5826,1.5826,1.5826
1970-01-26,1.5826,1.5826,1.5826,1.5826
1970-01-27,1.5826,1.5826,1.5826,1.5826
1970-01-28,1.5826,1.5826,1.5826,1.5826
1970-01-29,1.5826,1.5826,1.5826,1.5826
1970-01-30,1.5082,1.5082,1.5082,1.5082
1970-02-02,1.5082,1.5082,1.5082,1.5082
1970-02-03,1.5082,1.5082,1.5082,1.5082
1970-02-04,1.5082,1.5082,1.5082,1.5082
1970-02-05,1.5082,1.5082,1.5082,1.5082
1970-02-06,1.5082,1.5082,1.5082,1.5082
1970-02-09,1.5082,1.5082,1.5082,1.5082
1970-02-10,1.5082,1.5082,1.5082,1.5082
1970-02-11,1.5082,1.5082,1.5082,1.5082
1970-02-12,1.5082,1.5082,1.5082,1.5082
1970-02-13,1.5082,1.5082,1.5082,1.5082
1970-02-16,1.5082,1.5082,1.5082,1.5082
1970-02-17,1.5082,1.5082,1.5082,1.5082
1970-02-18,1.5082,1.5082,1.5082,1.5082
1970-02-19,1.5082,1.5082,1.5082,1.5082
1970-02-20,1.5082,1.5082,1.5082,1.5082
1970-02-23,1.5082,1.5082,1.5082,1.5082
1970-02-24,1.5082,1.5082,1.5082,1.5082
1970-02-25,1.5082,1.5082,1.5082,1.5082
1970-02-26,1.5082,1.5082,1.5082,1.5082
1970-02-27,1.5055,1.5055,1.5055,1.5055
1970-03-02,1.5055,1.5055,1.5055,1.5055
1970-03-03,1.5055,1.5055,1.5055,1.5055
1970-03-04,1.5055,1.5055,1.5055,1.5055
1970-03-05,1.5055,1.5055,1.5055,1.5055
1970-03-06,1.5055,1.5055,1.5055,1.5055
1970-03-09,1.5055,1.5055,1.5055,1.5055
1970-03-10,1.5055,1.5055,1.5055,1.5055
1970-03-11,1.5055,1.5055,1.5055,1.5055
1970-03-12,1.5055,1.5055,1.5055,1.5055
1970-03-13,1.5055,1.5055,1.5055,1.5055
1970-03-16,1.5055,1.5055,1.5055,1.5055
1970-03-17,1.5055,1.5055,1.5055,1.5055
1970-03-18,1.5055,1.5055,1.5055,1.5055
1970-03-19,1.5055,1.5055,1.5055,1.5055
1970-03-20,1.5055,1.5055,1.5055,1.5055
